id;donation_name;contact_details;billing_address;amount;description;donation_type;date_and_time
1;positively or while;anodise faithfully aw;utterly;2024-08-27T05:22:13;burly beneficial oof;dislocate hm huzzah;2024-08-27T08:24:32
2;opposition;deficient;handball;2024-08-26T20:39:20;whose uh-huh;than geez;2024-08-27T06:48:01
3;um pace;black-and-white an;restfully;2024-08-26T12:56:37;till;praise jubilant gadzooks;2024-08-26T15:10:31
4;notwithstanding;yawningly;angry hastily woot;2024-08-26T19:46:19;fervently favorable;annotate yowza;2024-08-26T23:55:40
5;per;explorer international lest;um whenever but;2024-08-26T14:59:40;road considerate heap;gape;2024-08-26T11:08:27
6;error neatly oboe;airship;food skirt;2024-08-26T19:17:22;camouflage across aside;ew truly without;2024-08-26T15:47:21
7;toward tough till;yum secondary yum;cello call;2024-08-27T07:33:50;who gosh;nor;2024-08-27T00:40:08
8;anenst ricochet mover;although mmm;liner questionnaire except;2024-08-27T07:04:44;blah unethically;shocked eek upon;2024-08-27T01:00:09
9;truly poison;kindheartedly ozone;freedom quarterly unwieldy;2024-08-26T15:46:35;handsome;ruffle;2024-08-27T04:24:41
10;plot oh;mattock suture;because;2024-08-26T19:51:56;silently;reassuringly uselessly;2024-08-27T00:22:45
